Resource ID,nation-tradition,settler_territory,author,title,link,format,rec_type,rec_summary,publ_lang,indigenous_author,year
1,Mi'kmaq,"Nova Scotia, Cape Breton","Lillian Marshall, Murdena Marshall, Prune Harris and Cheryl Bartlett",Muin aqq L’uiknek te’sijik Ntuksuinu’k / Muin and the Seven Bird Hunters,http://cbup.ca/books/marshall-marshall-muin-bird-hunters/,Text,Book,"Mi'kmaq legend ""Muin and the Seven Bird Hunters"" depicting how the stars and sky are used as time keepers. Drawings of the night sky in different positions according to seasons. Made in collaboration by Mi'kmaq elders from Cape Breton","Mi'kmaq, English",Y,2010
2,Mi'kmaq,"Nova Scotia, Cape Breton",Mi'kmaw Moons,Muin and the Seven Bird Hunters,"https://www.youtube.com/watch?v=3GBycod3qC0, https://www.youtube.com/watch?v=Y-Pi3QnCHOo, https://www.youtube.com/watch?v=TN6vbMOXf4w",Visual,Video,The story of Muin and the Seven Bird Hunters in an audiovisual format. A paper on the creation of this source can be found here http://www.integrativescience.ca/uploads/articles/2010-CAPJournal-Mikmaq-Night-Sky-Stories-Harris-Bartlett-Marshall-aboriginal-astronomy-science.pdf ,"Mi'kmaq, English, French",Y,"2009, 2020"
3,Mi'kmaq,"Nova Scotia, Maritime","David Chapman, Cathy LeBlanc",In Search of the 13th Mi'kmaq Moon,https://www.dropbox.com/s/u24d8bj2c4esq4t/JRASC201702ChapmanLeBlanc_small.pdf?dl=0&fbclid=IwAR1h4mTjF7Yh0VGusJUobZx27Udu_DaGEaxq9zL7F5skuT0z71bO4qHC0OE,Text,Paper,"A look at the Mi'kmaq moon cycles and a discussion on the 13th 'missing' moon, as well as how the moon was used as a calendar",English,Y,2017
4,"Wabanaki, Passamaquoddy, Maliseet, Penobscot, Mi'kmaq","Maine, Maritime","Abbe Museum, Smithsonian ",Youth Capture the Colorful Cosmos II: Star Stories of the Dawnland,https://static1.squarespace.com/static/56a8c7b05a5668f743c485b2/t/5a732b2c652deac3c3981890/1517497145287/Exhibit+Text+Final_WEB+VERSION.pdf,Text,Paper,"A overview of a project, including a collection of photos of the night sky taken by Indigenous youth as well as a collection of stories from various maritime Indigenous nations about the sky and stars. Youth also included their own creative stories under photographs.",English,Y,Unknown
5,Mi'kmaq,"Nova Scotia, Maritime","Prune Harris, Murdena Marshall, Cheryl Bartlett, Albert Marshall","Mi’kmaq Night Sky Stories, Patterns of Interconnectiveness, Vitality and Nourishment",http://www.integrativescience.ca/uploads/articles/2010-CAPJournal-Mikmaq-Night-Sky-Stories-Harris-Bartlett-Marshall-aboriginal-astronomy-science.pdf,Text,Paper,"An integrative science perspective between Indigenous and Western sciences, particularly with the sky story of Muin and the Seven Hunters",English,Y,2010
6,Mi'kmaq,Maritime,Native Languages,Rabbit and the Moon Man,http://www.native-languages.org/mikmaqstory3.htm,Text,Traditional Story,A story of why the moon has craters,English,Y,Unknown
7,"Mi'kmaq, Blackfoot",Maritime,Astro Canada,The Amerindian Sky,https://astro-canada.ca/le_ciel_des_amerindiens-the_amerindian_sky-eng,Text,Traditional Story,No summary provided.,"English, French",U,Unknown
8,"Gwich'in, Dene","Yukon, Arctic",The Legendary Sky Project,Dictionary,https://www.legendarysky.ca/dictionary/,Text,Dictionary,Words relating to astronomy and their translations in various Indigenous languages,"Gwich'in, Dene",Y,Unknown
9,Gwich'in,Yukon,"Claudio Aporta, Ingrid Kritsch, Alestine Andre, Kristi Benson, Sharon Snowshoe, William Firth, Del Carry","The gwich'in atlas: Place names, maps, and narratives",https://www.researchgate.net/publication/292916751_The_gwich'in_atlas_Place_names_maps_and_narratives,Text,Article,"Abstract: ""The full dimensions of Indigenous place names cannot be captured by any representational technique outside of the original context of use. Many limitations presented by traditional cartography, however, have been overcome by new mapping and documenting techniques and technologies. While traditional paper maps could only render geographic location and spelling of an orally transmitted place name, new technologies allow for the recording and presentation of the stories and other information connected to the name. The Cybercartographic approach goes a step further, creating a digital environment for data integration. The Gwich'in Cybercartographic Atlas can be understood as a framework within which the user is able to build his/her own narrative through the seamless use and connection of different datasets. This paper discusses the potential and limitations of this approach in the documenting of oral spatial and environmental narratives""",English,Y,2014
10,"Gwich'in, Babylonian",Yukon,"Wayne Horowitz, Alestine Andre, Ingrid Kritsch",The Gwich’in Boy in the Moon and Babylonian Astronomy,http://aa.uwpress.org/content/55/1/91.short,Text,Article,"Abstract: ""The Gwich’in narrative of “The Boy in the Moon” tells the story of how the face of the Moon came to be seen as it is today in the skies over the Gwich’in homeland in the Canadian Arctic and Alaska. This article uses the methodology of “comparative ethnoastronomy” to explore the story of “The Boy in the Moon” and its place in Gwich’in culture to inform on a Babylonian tradition of a Lion Man in the Moon. The study makes use of a wide variety of documentary evidence ranging in time from millenniaold cuneiform tablets from Babylonia to modern works on the anthropology of the Gwich’in and interviews with tribal elders, and it concludes with some thoughts on the shared human experience of looking at the sky.""",English,Y,2018
11,Gwich'in,"Alaska, Yukon",Princess Daazhraii Johnson,Yahdii reveals the way,https://link-springer-com.myaccess.library.utoronto.ca/article/10.1007/s11422-018-9890-0,Text,Forum publication,No summary provided.,English,Y,Unknown
12,Inuit,"General Arctic, Nunavut",John MacDonald,"The Arctic Sky: Inuit Astronomy, Star Lore, and Legend",https://www.rom.on.ca/en/node/6557,Text,Book,"Via book description: Combining interviews with 30 Inuit elders (from the last generation that travelled by dog team and built the nightly igloo), and drawing from historical records of arctic explorers and other keen observers, The Arctic Sky is a memorable journey through the arctic universe.",English,N,2000
13,Inuit,Nunavut,"Many authors, edited by edited by John Bennett and Susan Rowley",Uqalurait: An Oral History of Nunavut,https://www.mqup.ca/uqalurait-products-9780773523418.php,Text,Book,"A compilation of Inuit oral traditions, including a chapter on astronomy practices",English,Y,2008
14,"Inuit, Chukchi","Nunavut, Siberia",Tero Mustonen,"Inuit and Chukchi Star lore: Reflections on Ursa Major, the North Star and Northern Lights",http://www.snowchange.org/pages/wp-content/uploads/2016/11/Snowchange-Discussion-13-v2.pdf,Text,Discussion Paper,Some star stories and cosmology from Inuit oral tradition,English,Y,2016
15,Inuit,Arctic,Canada Under the Stars,The Inuit Sky,"https://astro-canada.ca/le_ciel_des_inuits-the_inuit_sky-eng, http://astro-canada.ca/le_ciel_des_inuits-the_inuit_sky-fra ",Text,Article,An overview of some Inuit stories and understandings of the sky,"English, French",N,Unknown
16,"Dene, Tlingit, Various","Arctic, Nunavut, Northwest Territories, Yukon","Katherine Barton, many contributors interviewed",Legends of the Northern Lights,https://newsinteractives.cbc.ca/longform/legends-of-the-northern-lights,Text,Article,Stories about the Northern Lights from various Indigenous groups across the Arctic,English,Y,2019
17,Inuvaluit,"Northwest Territories, Yukon",Myrna Pokiak,An Inuvialuit Way of Life,https://www.ece.gov.nt.ca/sites/ece/files/resources/edukit_-_inuvialuit.pdf,"Visual, Text",Education Kit,An education curriculum guide about the Inuvaluit way of life. Not much on astronomy,English,Y,Unknown
18,Inuit,Nunavut,Michael Kusugak,Northern Lights by Michael Kusugak,https://www.youtube.com/watch?v=-WXW8GAjXG0,Visual,Video,"The Inuit story that the Northern Lights are the souls of the dead, playing soccer in the sky. ",English,Y,2010
19,Inuit,Nunavut,Michael Kusugak,Northern Lights: The Soccer Trail,"https://www.annickpress.com/Books/N/Northern-Lights, https://www.strongnations.com/store/item_display.php?i=5688&f=",Text,Book,"The Inuit story that the Northern Lights are the souls of the dead, playing soccer in the sky. Also deals with the death of a grandparent","English, French",Y,1993
20,Inuit,Nunavut,Rachel Qitsualik-Tinsley and Sean Qitsualik-Tinsley,How Things Came To Be: Inuit Stories of Creation,https://www.chapters.indigo.ca/en-ca/books/how-things-came-to-be/9781772272598-item.html?ikwid=indigenous&ikwsec=Home&ikwidx=19#algoliaQueryId=1377a55febec329f99642768d93e453e,Text,Book,"A collection of Inuit creation stories, some of which involve the moon, sun, sky, etc.",English,Y,2015
21,"Salish, Onondaga, Blackfoot, Netsilik, Inuit, Wasco, Ojibwa, Cherokee","Canada, North America",C. J. Taylor,All the Stars in the Sky: Native Stories from the Heavens,https://www.chapters.indigo.ca/en-ca/books/all-the-stars-in-the/9780887767593-item.html?ikwid=indigenous&ikwsec=Home&ikwidx=24#algoliaQueryId=53c49b5270a24ea97f2c48b400732d71,Text,Book,A collection of various Indigenous stories having to do with the sky and universe from various different nations,English,Y,2006
22,Inuit,Nunavut,J. G. Oosten,The incest of sun and moon: An examination of the symbolism of time and space in two Iglulik myths,https://www.jstor.org/stable/42869371?seq=1#metadata_info_tab_contents,Text,Journal Article,Looking at two Iglulik stories of the sun and moon and the underlying messages within,English,N,1983
23,Various,"Canada, North America","Jean Guard Monroe, Ray A. Williamson",They Dance in the Sky,https://www.strongnations.com/store/item_display.php?i=1765&f= ,Text,Book,A collection of Indigenous stories in the sky,English,N,2007
24,Various,Nunavut,"Indigenous Corporate Training, LLC",A Brief Look at Indigenous Star Names,https://www.ictinc.ca/blog/a-brief-look-at-indigenous-star-names,Text,Blog,"Brief overview of Indigenous star names, especially Inuit","English, Inuktitut",N,2021
25,Inuit,Nunavut,Nunavut Arctic College Media,Anijaarniq 'Stars',https://www.anijaarniq.com/stars,Text,Stories,No summary provided.,English,Y,Unknown
26,Inuit,Nunavut,"Carolyn MacDonald, Jeela Allurut",Anijaarniq: Introducing Inuit Landskills and Wayfinding,https://d46c7cbe-c644-42a8-a6b0-26b2277f0717.filesusr.com/ugd/cda8fd_d389a6e4f1994127aca27d1002037fe2.pdf,"Visual, Text",Lesson Plans,Lesson plans to go along with the Anijaarniq website. ,English,Y,Unknown
27,Inuit,Nunavut,Various creators,Unikkausivut - Sharing our Stories,https://www.nfb.ca/playlist/unikkausivut-sharing-our-stories/,Visual,Video Playlist,A compilation of videos relating to Inuit way of life in Nunavut. Not all are necessarily relevant - the one that stands out as astronomy content is the Northern Lights one - but all seem cool and useful in their own right!,English,Y,1992
28,Inuit,Nunavut,Michael Kusugak,This Inuk author named 4 of Saturn's moons. Here's what he wants to name next,https://www.cbc.ca/radio/unreserved/names-erased-how-indigenous-people-are-reclaiming-what-was-lost-1.5774315/this-inuk-author-named-4-of-saturn-s-moons-here-s-what-he-wants-to-name-next-1.5774641,Audio,Podcast/Audio segment,Discusses Michael Kusugak's naming of the moons,English,Y,2020
29,Inuit,Northwest Territories,Jacob Boon,The Inuit Moons of Saturn,https://www.uphere.ca/articles/inuit-moons-saturn,Text,Article,Discusses the Inuit group of the moons of Saturn and the meaning behind their names,English,Y,2020
30,Dene,Northwest Territories,"Kate Kyle, Chris Cannon",Alaskan researcher documents 100 Northern Dene star names,https://www.cbc.ca/news/canada/north/northern-dene-astronomy-research-1.3393944,Text,Article,Talks about a project Cannon and team are working on to make Dene astronomy knowledge more widely known,English,N,2016
31,Dene,Northwest Territories,"Jacob Boone, Chris Cannon",Seeking True Knowledge In The Stars,https://www.uphere.ca/articles/seeking-true-knowledge-stars,Text,Article,Another article that talks about a project Cannon and team are working on to make Dene astronomy knowledge more widely known,English,N,2020
32,Alaskan Athabascan,Arctic,Chris Cannon,Alaska Athabaskan Stellar Astronomy,https://scholarworks.alaska.edu/bitstream/handle/11122/4817/Cannon_uaf_0006N_10276.pdf?sequence=1,Text,Thesis,Masters thesis on Athabaskan astronomy knowledge,English,N,2014
33,Dene,Northwest Territories,"Chris Cannon, Alaska Native Language Centre",Dinjii Zhuh K’yaa Yahdii / Yahdii in the Native Tradition: A Gwich’in (Dene) Star Chart,https://epay.alaska.edu/C21563_ustores/web/product_detail.jsp?PRODUCTID=5956&SINGLESTORE=true,Visual,Poster,"Description: ""The Alaska Native Language Center has published a star chart, based on traditional Gwich’in knowledge, that was produced by researchers Christopher Cannon and Paul Herbert, with illustrator Mareca Guthrie. Dinjii Zhuh K’yàa Yahdii / Yahdii in the Native Tradition: A Gwich’in (Dene) Star Chart is a product of more than a decade of research with Gwich’in traditional knowledge bearers and the first-ever star chart for a Northern Dene language. As a whole-sky constellation, the chart depicts the spirit of the ancient Gwich’in Traveler-Transformer figure, Ch’iteehàawkaii, arched over Earth as a teacher, protector, ally, and the embodiment of the world who continues to travel overhead on his snow-packed Milky Way trail.""",English,N,2020
34,Dene,Northwest Territories,Katlia,Land-Water-Sky / Nde-Tı-Yat’a,https://www.strongnations.com/store/item_display.php?i=8880&f=3158,Text,"Book, Novel","Description: ""Land-Water-Sky/Nde-Tı-Yat’a is the debut novel from Dene author Katłįà. Set in Canada’s far north, this layered composite novel traverses space and time, from a community being stalked by a dark presence, a group of teenagers out for a dangerous joyride, to an archeological site on a mysterious island that holds a powerful secret. Riveting, subtle, and unforgettable, Katłįà gives us a unique perspective into what the world might look like today if Indigenous legends walked amongst us, disguised as humans, and ensures that the spiritual significance and teachings behind the stories of Indigenous legends are respected and honored.""",English,Y,2020
35,"Sahtu, Gwich’in, Inuvialuit",Northwest Territories,"Legendary Sky Project, multiple collaborators",The Legendary Sky Project,https://www.legendarysky.ca/,Text,"Website, Database",A website dedicated to Indigenous sky research and resources in the NWT. Includes curriculum guides and a dictionary with terms.,English,Y,2019
36,Inuvialuit,Northwest Territories,Joint Secretariat,Inuvialuit and Nanuq: A Polar Bear Traditional Knowledge Study,https://wmacns.ca/documents/18/394_polar-bear-tk-report-low-res.pdf,Text,Report,The section starting on page 16 has some information related to using stars as navigational tools,English,U,2015
37,Inuit,"Northwest Territories, Arctic","Chelsea Spence, Cynthia Barnes",Crow Brings the Daylight,https://www.youtube.com/watch?v=2kE4vZx_lEQ,Visual,Video,The Inuit story of the crow bringing daylight to the Inuit,English,U,2013
38,"Abenaki, Haudenosaunee, Iroquois, Kanyen'keha:ka, Mohawk","Ontario, Quebec","Joseph Bruchac, Michael J. Caduto",Keepers of the Night: Native Stories and Nocturnal Activities for Children,https://www.strongnations.com/store/item_display.php?i=166,Text,Book,"Book that include Indigenous ""stories"" and ""activities"" from across Turtle Island (North America)",English,Y,1994
39,Innu,Quebec,Sandrine Iceta,L'ESPACE-TEMPS SUBARCTIQUE:LEVECU ETLECONCU MONTAGNAIS,https://www.collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp04/mq25611.pdf,Text,Thesis,Thesis on the space/time perception from the Innu in a remote reserve in Quebec. There is a lot of information on Astronomical knowlegde for someone how knows where to look. ,French,N,1997
40,"Innu, Cree, Ojibwe, Various","Quebec, Ontario",Remi Savard,"Le Premier printemps du monde, Remi Savard, ed Les 400 coups, 2002",https://www.editions400coups.com/400-coups/le-premier-printemps-du-mondeun-conte-innu,Text,Book,Book that includes a very important story for First Nations about how the season came to be,French,U,Unknown
41,Innu,Quebec,Josephine Bacon,"LIVRE BATON A MESSAGES, Josephine Bacon, 2009.",https://www.renaud-bray.com/Livres_Produit.aspx?id=1003509&def=B%C3%A2tons+%C3%A0+message%2F+Tshissinuatshitakana%2CBACON%2C+JOS%C3%89PHINE%2C9782923713090 et https://ici.radio-canada.ca/ohdio/livres-audio/105776/batons-a-message-tshissinuatshitakana-bacon,Text,"Poems, Audiobook",There is a poem about the space women,French,Y,2009
42,Cree,Manitoba,"Buck, Wilfred","Tipiskawi Kisik
",https://www.mcnallyrobinson.com/9781927849460/wilfred-buck/tipiskawi-kisik-night-sky-star-stories?blnBKM=1,Text,Book,"""View the night sky through an Indigenous perspective with this collection of Ininew (Cree) constellations and mythologies. These stories present a brief glimpse of the knowledge held by Indigenous people prior to first contact. Fly inside the Milky Way with Niska (the Goose). Chase Mista Muskwa (the Great Bear) along with Tepahkoop Pinesisuk (the Seven Birds)""",English,Y,2018
43,"Cree, Lakota, Plains",Manitoba,"Buck, Wilfred","Atchakosuk
First Nations
Education Administrators Short
Course 2016",http://mfnerc.org/wp-content/uploads/2016/03/Atchakosuk.pdf,Visual,PowerPoint,"PowerPoint slides with terrific drawings of some First Nations constellations, a well as some cosmology",English,Y,2016
44,Cree ,"Saskatchewan, Ontario, Manitoba, Quebec, Alberta","Cardinal, Hunter",Look to the Stars: Indigenous Astronomy,http://www.naheyawin.ca/blog/2017/10/10/look-to-the-stars,Text,Blog,"interview with Wilfred Buck, Cree astronomer",English,Y,Unknown
45,"Pan-Native, Navajo","Canada, North America","Deloria Jr., Vine, Philip J. Deloria",The World We Used to Live In: Remembering the Powers of the Medicine Men,https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDM3872420&R=3872420,Text,Book,No summary provided.,English,Y,2006
46,"Mohawk, Haudenosaunee","Ontario, Quebec","Fadden, Ray (Indian Times)",The Story of the Pleiades,https://www.indiantime.net/story/2018/02/01/culture/the-story-of-the-pleiades/26867.html,"Visual, Text","Website, Story","Recorded by Ray Fadden, not born Indigenous, but adopted by Mohawk. Texte published on website of Indian Times",English,Y,2018
47,"Onondaga, Haudenosaunee","Canada, North America","Gansworth, Eric",Nickel Eclipse: Iroquois Moon,https://www.ericgansworth.com/nickel-eclipse-iroquois-moon,Text,"Book, Poetry",Exploration of contemporary life on an eastern Indian reservation and survival thorough poems and paintings. Organizes poems around image of different moon phases.,English,Y,2000
48,"Ojibwe, Anishinaabe","Canada, North America","Gawboy, Carl",Talking Sky: Ojibwe Constellations as a Reflection of Life on the Land,https://birchbarkbooks.com/all-online-titles/talking-sky,Text,Book,"Stories of the constellations in the night sky of the Ojibwe tell of the stars and the seasons, the Ojibwe traditions, religion, science, and day to day living. ",English,Y,2014
49,"Blackfoot, Cree, Ojibwe, Anishinaabe, Mi'kmaq","Canada, North America",Invert Media,Four Directions Teaching,http://www.fourdirectionsteachings.com/,Visual,Interactive website,"Created by Invert Media. OISE prof Dr. Wemigwans is president. Oral recordings of Elders teachings, can also download transcripts ",English,Y,Unknown
50,Haudenosaunee,"Canada, North America",Jaguar Bird and Chief Lyons,Faithkeeper Oren Lyons: Our Mother Earth - Haudenosaunee Six Nations Iroquois Confederacy,https://www.youtube.com/watch?v=b6YAjSQpcX8,Visual,Video,"Text of speech, set to music,  of ""Indigenous Peoples perspective on the state of our world"" by given by Grandfather/Chief Oren Lyons. Unclear if music is Indigenous.
",English,Y,2018
51,"Mohawk, Haudenosaunee","Canada, North America",Kay Olan,Kanienkeha:ka Creation Story,http://www.kanehsatakevoices.com/wp-content/uploads/2017/04/CREATION_-as-told-by-KANIENKEHAKA-woman-storyteller-FINAL2-April-13.pdf,Visual,Powerpoint,"Powerpoint of Creation Story, using Indigneous works, including name of Grandmother Moon. See https://www.youtube.com/watch?v=VjylR_8EWl4 for a YouTube interview with Kay Olan",English,Y,2014
52,"Ojibwe, Anishinaabe, Dakota, Lakota","Canada, North America","Lee, Annette",Native Skywatchers,http://www.nativeskywatchers.com/educator-resources/,"Visual, Text","Website, Media, Lesson Plan, PowerPoint","Immense rich resources from website of Dr. Annette Lee, professor astronomy at St. Cloud State (Minnesota). Includes range of media and resources for teachers and students! Unit plans link to Minnesota state standards. ",English,Y,"2012, 2016"
53,"Dakota, Lakota","Canada, North America","Lee, Annette S. and Rock, Jim ",D(L)akota Star Map,https://web.stcloudstate.edu/aslee/DAKOTAMAP/home.html,Visual,"Image, Media",Beautiful illustrated star chart of D/Lakota constellations,English,Y,2012
54,"Dakota, Lakota","Canada, North America","Lee, Annette S., Rock, Jim, and O’Rourke, Charlene",D(L)akota Star Map Constellation Guide: An Introduction to D(L)akota Star Knowledge,https://www.amazon.ca/Dakota-Lakota-Star-Constellation-Guidebook/dp/0692232540/ref=sr_1_1?s=books&ie=UTF8&qid=1519934072&sr=1-1&keywords=L%28D%29akota+Sky+Maps,"Visual, Text","Book, Guide","""A constellation guidebook focusing on D(L)akota Star Knowledge. Greek constellations and astronomical objects of interest are included along with the D(L)akota constellations organized by the four seasons and north circumpolar stars.""",English,Y,2014
55,"Ojibwe, Anishinaabe","Canada, North America","Lee, Annette S., Wilson, William P., and Gawboy, Carl",Ojibwe Star Sky Map,https://web.stcloudstate.edu/aslee/OJIBWEMAP/home.html,Visual,"Image, Media",Beautiful illustrated star chart of Ojibwe constellations,English,Y,2012
56,"Ojibwe, Anishinaabe","Canada, North America","Lee, Annette S., Wilson, William, Tibbetts, Jeffrey, and Gawboy, Carl",Ojibwe Sky Star Map - Constellation Guidebook: An Introduction to Ojibwe Star Knowledge ,https://birchbarkbooks.com/all-online-titles/ojibwe-sky-star-map,"Visual, Text","Book, Guide","""A constellation guidebook focusing on Ojibwe Star Knowledge. Greek constellations and astronomical objects of interest are included along with the Ojibwe constellations organized by the four seasons and north circumpolar stars.  Accompanies the ""Ojibwe Giizhig Anung Masinaaigan"" - Ojibwe Sky Star Map created by Annette Lee, William Wilson, and Carl Gawboy.""",English,Y,2014
57,"Ojibwe, Anishinaabe","Canada, North America","Lee, Annette, Wilson, William, Tibbetts, Jeff, and Gawboy, Carl",Ojibwe sky star map constellation guidebook : an introduction to Ojibwe star knowledge,http://inukshuk.lakeheadu.ca:7008/vwebv/holdingsInfo?bibId=970333&type=crSearch,"Visual, Text",Book,"""A constellation guidebook focusing on Ojibwe Star Knowledge. Greek constellations and astronomical objects of interest are included along with the Ojibwe constellations organized by the four seasons and north circumpolar stars.""
",English,Y,2014
58,Mi'kmaq,"Canada, North America","Marshall, Lillian, Marshall, Murdena, Harris, Prune and Bartlett, Cheryl",Muin aqq Luikned Tesijik Mtuksunuk / Muin and the Seven Bird Hunters  ,http://cbup.ca/books/marshall-marshall-muin-bird-hunters/,"Visual, Text",Book,Muin and The Seven Bird Hunters: A Mi'kmaw Night Sky Story is a well-crafted and designed picture book that retells the Mi'kmaq story about the night sky and the distinctive stars known as Ursa Major or the Big Dipper.,English,Y,2010
59,Pan-Native,"Canada, North America","Michael J. Caduto and Bruchac, Joseph",Keepers of the Night: Native American Stories and Nocturnal Activities for Children,https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDM502482&R=502482,Text,Book,Kid-friendly book of Native astronomy knowledge and related activities. ,English,Y,1994
60,Pan-Native,"Canada, North America","Neilson, Hilding","Indigenizing Astronomy Reading List
",https://medium.com/@hildingneilson/indigenizing-astronomy-reading-list-66cdec04a8af,Text,Resource List,"Tremendously extensive resource list on Indigenizing Astronomy, includes specific Indigenous astronomy resources as well as contextual resources on two-eyed seeing and Indigenous Knowledge. Some resources on this sheet below are from this list. Author is faculty at University of Toronto.",English,Y,2019
61,"Oneida, Haudenosaunee","Canada, North America",Oneida Indian Nation,The Haudenosaunee Creation Story,http://www.oneidaindiannation.com/the-haudenosaunee-creation-story/,Visual,"Website, Media",Telling of Creation Story and Skywoman,English,Y,2016
62,"Onondaga, Haudenosaunee","Canada, North America",Onondaga Historical Association,"The Creation Story
",https://www.youtube.com/watch?v=WSzDM7Jmg94,Visual,Video,Interviews with Onondaga knowledge keepers by Onondaga Historical Association,English,Y,2016
63,Anishinaabe,"Canada, North America",Michael Wassegijig Price ,Indigenous Astronomy,"https://www.michaelwassegijig.com/star-knowledge.html, http://www.michaelwassegijig.com/star-knowledge.html",Text,Blog,Author's reflection on Indigenous astronomy and connection to naming of his son. Also describes some Anishinaabe constellations. ,English,Y,Unknown
64,"Dakota, Lakota","Canada, North America","Rock, Jim",D(L)akota Celestial Vocabulary,https://web.stcloudstate.edu/aslee/DAKOTAMAP/home.html,"Visual, Text","Website, Media","Astronomy vocabulary, recordings, and pronunciations",English,Y,2012
65,Mi’kmaw,"Canada, North America",Royal Astronomical Society,12 Mi’kmaw Moons,"https://www.youtube.com/channel/UCmNRO8Ycc1__UV4akd8Fy6A, https://www.youtube.com/watch?v=-B92PRiwdJg",Visual,Video,"New resource on the12 Mi’kmaw moons, very useful, has video pronunciations of terms ",English,Y,2019
66,Haudenosaunee,"Canada, North America","Santee, Smith (Two Row Times)",Skywoman: A Story Before Time,https://tworowtimes.com/arts-and-culture/skywoman-story-time/,"Visual, Text","Website, Media","Telling of Creation Story and Skywoman,  beautiful illustration of Skywoman",English,Y,2016
67,"Dokis First Nation, Anishinaabe","Canada, North America","St. Louis, Ray","Astronomy not new
to Anishinaabe",http://www.gatewaytotheuniverse.org/uploads/2/7/3/0/2730141/anishnews_ray2011decb.pdf,Text,Article,"Brief piece on Anishinaabe story of Big Dipper, emphasizing astronomy always important to Anishinaabe",English,Y,2011
