Resource ID,nation-tradition,settler_territory,author,title,link,format,rec_type,rec_summary,publ_lang,indigenous_author,year
68,"Ojibwe, Anishinaabe","Saskatchewan, Ontario, Manitoba, Quebec","Wilson, William",Ojibwe Star Sky Map,https://web.stcloudstate.edu/aslee/OJIBWEMAP/home.html,"Visual, Text","Website, Media",Astronomy vocabulary and recordings and pronunciations,English,Y,2012
69,Mi'kmaq,"Canada, North America",International Year of Astronomy 2009,Muin and the Seven Bird Hunters ,https://www.youtube.com/watch?v=3IYpP_pTF08,"Visual, Text",Video and News Article,No summary provided.,English,U,2009
70,Dene,"Canada, North America","Reynolds, Margaret",Dene Stories,https://search.library.utoronto.ca/details?8295489,Text,Book,Elder Margaret Reynolds. Not available online.,English,U,1979
71,Lakota,"Canada, North America","Goodman, Ronald and Seeger, Alan",Lakota Star Knowledge: Studies in Lakota Stellar Theology ,https://birchbarkbooks.com/all-online-titles/lakota-star-knowledge,Text,Book,"Terrific and visually engaging book, ""concerned with regular celestial events that provided sacred order to the Lakota."" ",English,Y,2017
72,"Ojibwe, Anishinaabe","Canada, North America","Jones, William",Ojibwe tales from the north shore of Lake Superior,https://teachingcommons.lakeheadu.ca/sites/default/files/inline-files/jones_ojibwe%20tales%20lake%20superior.pdf,Text,Journal article,"Collection of recorded cosmology/creatioUnavailablestronomy knowledge from Ojibwe, likely by non-Indigenous scholar. Still, however, a useful recording of knowledge and referenced by contemporary scholar Dr. Amy Farrell-Morneau, Lakehead University (Ojibwe)",English,U,1916
73,"Ojibwe, Anishinaabe, Cree, Blackfoot, First Nations","Saskatchewan, Ontario, Manitoba, Quebec, Alberta","McMahon, Peter",First Nations Star Chart,https://wildernessastronomy.com/wp-content/uploads/2012/02/first_nations_star_chart_canada_mcmahon.jpg,Visual,"Image, Media","Clear and easy-to-use start chart of some Native constellations, part of article https://wildernessastronomy.com/resources/starchart-first-ever-overview-of-the-canadian-constellations/",English,U,2012
74,Dakota,"Canada, North America","Nagy, Shaun ",The Night Sky (Unit plan),https://education.usask.ca/ccstu/pdfs/night_sky.pdf,"Text, Visual",Lesson Plan,General Indigenous Knowledge (IK) References IK generally and Dene and Cree specifically (from Alberta). Unit includes both Western and IK. Includes Cree and Dene language and calendars. Majority is Western content though encourages students to critically examine IK. Includes many other resources!,English,U,2000
75,"Anishinaabe, Ojibwe",Ontario,Basil Johnston,Gift of the Stars,https://www.strongnations.com/store/item_display.php?i=2620&f=,"Text, Visual",Book,A picture book of Ansihinaabe stories about the sky,English,U,2010
76,"Ojibwe, Anishinaabe ",Ontario,"Darrell-Morneau,  Amy ",Ojibwe Star Circle (Planisphere),https://teachingcommons.lakeheadu.ca/sites/default/files/inline-files/Solns_OjibweStarCircle.pdf,Visual,Media,"Author is faculty at Lakehead University. Ojibwe planisphere (tool for finding what's in night sky). Print out and fits into make-your-own planisphere, which is also printable: https://teachingcommons.lakeheadu.ca/sites/default/files/inline-files/NRCC%20planisphere.pdf",English,N,Unknown
77,"Cree, Cheyenne, Assiniboine, Inuit, Haudenosaunee, Menominee, Ojibwe, Anishinaabe","Canada, North America",Frank Dempsey,Aboriginal Sky Lore of the Big Dipper in North America,http://adsbit.harvard.edu/full/seri/JRASC/0102//0000060.000.html,Text,Article,Overview of North American Indigenous stories about the Big Dipper,English,N,2008
78,"Onondaga, Haudenosaunee, Wyandot, Cherokee, Arikara, Assiniboine, Shasta, Navajo, Cayuga, Hopi, Ojibwe","Canada, North America",Frank Dempsey,"Aboriginal Sky Lore of the Pleiades Star Group in North America
 ",http://adsbit.harvard.edu/cgi-bin/nph-iarticle_query?bibcode=2009JRASC.103..233D&db_key=AST&page_ind=0&plate_select=NO&data_type=GIF&type=SCREEN_GIF&classic=YES,Text,Article,Overview of North American Indigenous stories about the Pleiades Star Group,English,N,2009
79,"Navajo, Cree, Cahuilla, Ipai, Maricopa, Yokut, Seri, Pueblo, Yokutm Wichita, Osage, Omaha Kwakiutl, Snohomish, Wasco, Crow, Hidatsa, Lakota","Canada, North America",Frank Dempsey,"Aboriginal Sky Lore of the Constellation Orion in North America
",http://adsabs.harvard.edu/full/2009JRASC.103...65D,Text,Article,Overview of North American Indigenous stories about Orion,English,N,2009
80,"Ojibwe, Anishinaabe","Saskatchewan, Ontario, Manitoba, Quebec","Lee, Annette and Wilson, William",Star Vocabulary List for Giizhig Anung Masinaaigan - Ojibwe Sky Star Map,https://web.stcloudstate.edu/aslee/OJIBWEMAP/OjibweStarVocab9_23_13%C2%A0.pdf,Text,Website,Vocabulary list to accompany Ojibwe Sky Star Map,English,N,Unknown
81,Anishinaabe,"Saskatchewan, Ontario, Manitoba, Quebec",Michael Wassegijig Price ,Anishinaabe Star Knowledge,https://eric.ed.gov/?id=EJ652693,Text,Article ,"""A connection with nature constitutes the difference between Western science and indigenous perspectives of the natural world. Understanding the synchronicity of natural and astronomical cycles is integral to Anishinaabe cosmology. Examples show how the Anishinaabe cultural worldview and philosophy are reflected in their celestial knowledge and how indigenous knowledge relates natural phenomena to everyday life.""",English,N,2002
82,Athabascan Language Family,"Canada, North America","Cannon, Christopher",Alaska Athabascan Astronomy,https://scholarworks.alaska.edu/bitstream/handle/11122/4817/Cannon_uaf_0006N_10276.pdf?sequence=1,Text,Dissertation,Suitable for advanced students. Unpublished dissertation on Athabascan astronomy of modern-day U.S. and Canada. ,English,N,2014
83,Blackfoot,"Canada, North America",Canadian Heritage Information Project,The Blackfoot of The North American Plains,http://www.virtualmuseum.ca/edu/ViewLoitLo.do?method=preview&lang=EN&id=5205,"Visual, Text","Website, Media","Retells several Blackfoot astronomy-related stories, perhaps originally told by Blackfoot people, though source not listed. Includes great visuals and transcripts...flash videos are broken though. ",English,N,2003
84,Cree,"Canada, North America",CBC,Legends of the Northern Sky': Movie explores Cree culture's connection to the stars,https://www.cbc.ca/news/canada/edmonton/legends-of-the-northern-sky-telus-world-of-science-cree-1.5092709,Text,News Article ,News article reporting on creation of Cree astronomy show at planetarium in Edmonton,English,N,2019
85,"Cree, First Nations","Canada, North America","Buck, Wilfred",Atchakosuk: Ininewuk Stories of the Stars. ,https://mfnerc.org/wp-content/uploads/2012/11/008_Buck.pdf,"Visual, Text",Book,"Appropriate for Grade 4 and up. ""Almost all these stories came, at least in part, from living oral tradition and many are here translated from their original languages. There is great variety, including “The return of the Sun” (Onondaga), which tells how the Sun came to be fastened up into the sky so that it can give light and life to the people.""",Cree,U,Unknown
86,"Haudenosaunee, Iroquois, Kanyen'keha:ka, Mohawk","Ontario, Quebec","Joseph Bruchac, Michael J. Caduto",Keepers of the Night: Native Stories and Nocturnal Activities for Children,https://www.strongnations.com/store/item_display.php?i=166,"Visual, Text",Book,"Book that include Indigenous ""stories"" and ""activities"" from across Turtle Island (North America)",English,U,1994
87,Navajo ,"Canada, North America",Unknown,"Earth is My Mother, Sky is My Father",https://goodminds.com/products/9780826316349,"Visual, Text",Book,No summary provided.,English,U,Unknown
88,Haudenosaunee,"Ontario, Quebec",Canadian Museum of History,Sky Woman: A Haudenosaunee Creation Story,https://www.youtube.com/watch?v=0bOgYTscNOM,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
89,Temagami,Ontario,Aleck Paul,Origin of Constellation Fisher (Big Bear),http://temagami.nativeweb.org/tale-fisher.html,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
90,"Dene, Ahtna, Gwich'in, Sahtuot'ine","Canada, North America",Cannon et al,"Northern Dene Constellations as Worldview Projections with Case Studies from the Ahtna, Gwich’in, and Sahtuot’ı̨nę",https://par.nsf.gov/servlets/purl/10232320,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
91,Ojibwe,"Canada, North America","Muskrat Magazine (Taken from ""Kinoomaadiewinan Anishinabek Bimaadinzinwin"" (Book).",Ojibway Moons,http://muskratmagazine.com/ojibwe-moons/,Text,Article,No summary provided.,English,U,Unknown
92,"Ojibwe, Cree, Mohawk ","Canada, North America",Unknown,Thirteen Moons ,https://onlc.ca/wp-content/uploads/2014/06/13-Moon-curriculum2.pdf,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
93,Unknown,"Canada, North America",Thomas Peacock,The Four Hills of Life,https://shop.mnhs.org/products/four-hills-life,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
94,Unknown,"Canada, North America",Oneida Indian Nation ,Autumn Colour ,https://www.oneidaindiannation.com/autumn-color/,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
95,Seneca,Ontario,DEYOHAHA:GE: THE INDIGENOUS KNOWLEDGE CENTRE,Hodinöhsyo:nih Star Knowledge,https://www.snpolytechnic.com/sites/default/files/docs/resource/starknowledge.pdf,"Visual, Text",Online Resource,No summary provided.,English,U,Unknown
96,Unknown,"Canada, North America",Unknown,KANAWAYHITOWIN - TAKING CARE OF EACH OTHER'S SPIRIT - Moon Teachings,http://www.kanawayhitowin.ca/?page_id=214,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
97,Cree,"Canada, North America",Unknown,The Origin of the Moon,"https://www.galileo.org/initiatives/moka-meyo/meyo/meyopimatisiwin/learning-wasak3.html, https://science.ucalgary.ca/rothney-observatory/community/first-nations-skylore/moon","Visual, Text",Story ,Cree moon origin story.,English,U,Unknown
98,Various,"Canada, North America",NCCIE,Lessons from the Night Sky ,https://www.nccie.ca/lessonplan/lessons-from-the-night-sky/,"Visual, Text",Lesson Plan,7 Lesson activity to help students better understand Indigenous science and asronomy. ,English,Y,Unknown
99,Unknown,"Canada, North America",Unknown,ATIMA ATCHAKOSUK: THE DOG STARS,https://www.wintercityedmonton.ca/atima-atchakosuk-the-dog-stars/,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
100,Chippewa ,"Alberta, Canada, North America",Smithsonian Museum,Star Stories: The Fox and the Stars,https://www.youtube.com/watch?v=dcW4hYIwvPI,Visual,Video,A traditional Chippewa story about how the stars became scattered across the sky. ,English,N,2018
101,Chippewa ,"Alberta, Canada, North America",Thomas Peacock,The Forever Sky,https://shop.mnhs.org/products/forever-sky,"Visual, Text",Picturebook,"""Brothers look to the stars and spin stories, some inspired by Uncle, some of their own making. The best one involves their grandmother and her place in the forever sky.""",English,Y,2019
102,"Cree, Mi'kmaw","Manitoba, Saskatchewan ",Kelly Boutsalis,Teaching Indigenous Star Stories,https://thewalrus.ca/space-teaching-indigenous-star-stories/,Text,Magazine article,No summary provided.,English,Y,Unknown
103,Unknown,"Canada, North America",Wilfred Buck,Wilfred Buck: The Story of Grandmother Spider and Star Woman ,https://www.youtube.com/watch?v=mH_8mcRFgTw,"Visual, Audio","Video, Audio Clip",No summary provided.,English,Y,Unknown
104,Various,"Canada, North America, Manitoba",David Alexander Robertson,Warren Whistles At The Sky,https://goodminds.com/products/9781927849309,"Visual, Text",Book,No summary provided.,English,U,Unknown
105,Various,"Canada, North America",Terri Mack,Mouse Celebrates the Winter Solstice,https://www.strongnations.com/store/item_display.php?i=4932,"Visual, Text",Children's Book,No summary provided.,English,Y,2014
106,Metis ,"Manitoba, Ontario ",Leah Marie Dorion,Strong Stories Metis: How the Moon Came to Be,https://www.strongnations.com/store/item_display.php?i=7227,"Visual, Text",Children's Book,Traditional Metis story about the creation of the moon. ,English,Y,2018
107,"Ininew, Cree","Manitoba, Saskatchewan","Wilfred Buck 
",Tipiskawi Kisik: Night Sky Star Stories,https://mfnerc.org/product/tipiskawi-kisik-night-sky-star-stories/,"Visual, Text",Illustrated book,"""Like the night sky above, Tipiskawi Kisik holds a myriad of tales rooted in an Ininew (Cree) perspective."" (Publisher's website)","English, Cree",Y,2018
108,"Ininew, Cree",Manitoba,Manitoba First Nations Education Resource Centre Inc,Wilfred Buck: The Star Guy,https://mfnerc.org/2016/12/wilfred-buck-the-star-guy/,Text,Article,Summary of Wilfred Buck's work to revitalize Cree stronomy,English,Y,2021
109,"Ininew, Cree",Manitoba,Christie Taylor ,"Relearning The Star Stories Of Indigenous Peoples
",https://www.sciencefriday.com/articles/indigenous-peoples-astronomy/,Text,Article,"Article reporting on efforts to strengthen Indigneous astronomy, especially by Wilfred Buck. Good multimedia features of Indigenous star charts (Ojibway, Dakota/Lakota, and Ininew/Cree ), photos of Indigenous astronomy exhibit at new Canada Science and Technology Museum, and links to interview with Wilfred Buck who tells The Story of The Great Bear And The Seven Birds",English,Y,2019
110,Cree,Manitoba,Wilfred Buck/ Strong Front TV,Achakapis: Little Spirit by Wilfred Buck,https://www.youtube.com/watch?v=Kj-DS2OITio,Visual,Video,Sky stories as told by Wilfred Buck pertaining to different constellations,English,U,2020
111,Cree,Manitoba,Wilfred Buck/ Strong Front TV,Sisikwun: The Rattle by Wilfred Buck ,https://www.youtube.com/watch?v=fksmgAYzj8o,Visual,Video,Sky stories as told by Wilfred Buck pertaining to different constellations,English,U,2020
112,Cree,Manitoba,Wilfred Buck/ Strong Front TV,Makinak: The Turtle by Wilfred Buck,https://www.youtube.com/watch?v=2aKY198dFgM,Visual,Video,Sky stories as told by Wilfred Buck pertaining to different constellations,English,Y,2020
113,"First Nations, Metis",Saskatchewan ,Lisa Zacharias,"Integrating First Nations and Metis Content and Perspective
Pre-Kindergarten
Sun, Earth, Moon, and Stars",https://www.spiritsd.ca/learningresources/FNM%20Resources/Pre-K%20Sun%20Earth%20Moon%20Stars%20(3).pdf,"Visual, Text",Lesson Plan,Full curriculum with lessons and resources related to teaching FN and Metis astronomy in (Settler) classroom,English,N,Unknown
114,Cree,"Saskatchewan, Alberta",Freda Ahenakew,"Wisahkecahk flies to the moon. Winnipeg, MB : Pemmican.","https://werklund.ucalgary.ca/teaching-learning/wisahkecahk-flies-moon, https://birchbarkbooks.com/all-online-titles/wisahkecahk-flies-to-the-moon","Visual, Text",Picturebook,"Publisher's description (Pemmican Publications, 2015): This dual language Picturebook is written in English and Plains Cree. Presented simultaneously in English and Cree, this is the imaginative story of Wisahkecahk's brief but adventurous visit to the moon!","English, Cree",Y,2015
115,Dene,Saskatchewan ,Dene Children,Byron Through the Seasons,https://www.strongnations.com/store/item_display.php?i=117&f=2879,"Visual, Text",Picturebook,"""This Dene-English story book was produced by the students and teachers of Ducharme Elementary School in La Loche, Saskatchewan, with assistance from local advisors and elders. Together, they wrote the story, translated it, and worked on the pictures. ...[It] recalls early aspects of Dene lifestyle, from tanning and medicine to camping and food preservation.""","Dene, English",Y,1999
116,"Dene, Cree","Saskatchewan, Alberta, Yukon, Northwest Territories, Nunavut, British Columbia, Alberta","Shaun Nagy, Glen Aikenhead (Ed.)","Tthen (Dene), Acâhkosak (Cree), The Night Sky",https://creeliteracy.org/wp-content/uploads/2016/01/night_sky.pdf,"Visual, Text",Lesson,"Complete lesson plan featuring activities and additional resources that teaches Western and Indigenous astronomy. Part of the ""Rekindling Traditions:
Cross-Cultural Science and Technology Units."" Developed with teachers, coordinators, and Elders ",English,U,2000
117,"Gwich'in, Dene","Yukon, Northwest Territories",Chris Cannon,Comparative Study Explores Northern Dene Astronomical Knowledge,https://www.arcus.org/witness-the-arctic/2019/4/highlight/1,Text,Research article,"Summary of research about  Dene astronomical knowledge systems with Gwich'in elders. Includes background on research methods, vocabulary, and illustrations. ",English,N,2019
118,"Dene, Cree, Anishinaabe, Abenaki, First Nation, Metis",Alberta,"Alyssa Zack, Alyssa Bocking, Fran Rogers, Leah Bortolin, Linda ManyGuns",Lessons from the Night Sky,https://www.nccie.ca/lessonplan/lessons-from-the-night-sky/,"Visual, Text",Lesson Plan,"Full set of lesson plans developed with National Centre for Collaboration. Includes IAK as well as ""framing"" (Indigenous + Western conceptiosn of astronomy and science) material. The assessment of this lesson is designed with Indigenous ways of assessment in mind",English,Y,2021
119,Lakota,"Manitoba, Saskatchewan",Binesikwe Means,"For Lakota, Traditional Astronomy is Key to Their Culture’s Past and Future",https://globalpressjournal.com/americas/tribal-nations/lakota-traditional-astronomy-key-cultures-past-future/,Text,Newspaper article,Article reporting on work of Lakota Elder Victor Douville teaching and preserving Lakota Star KNowledge,English,Y,2016
120,"Ininew, Cree",Manitoba,Wilfred Buck,"Tipiskawi Kisik: Night Sky Star Stories,"" is with the author, Wilfred Buck, who shares his culture's views of the night sky and the importance of the stars for his People. He also talks about the importance of respecting Indigenous ways of being and knowing.",https://mfnerc.org/product/tipiskawi-kisik-night-sky-star-stories/,"Visual, Text",Book,"""Like the night sky above, Tipiskawi Kisik holds a myriad of tales rooted in an Ininew (Cree) perspective. An exploration of stars and constellations—and their associated mythologies—will greet you with age-old knowledge held by Indigenous people prior to European contact."" (Manitoba First Nations Education Resource Centre)","English, Cree",Y,2018
121,"Ininew, Cree",Manitoba,Wilfred Buck,The Story of the Northern Lights,https://www.youtube.com/watch?v=fd18NxiH_BQ,Visual,Video,"The story of the Northern Lights and the reasoning behind the legends, as told by Wilfied Buck from his childhood",English,Y,2016
122,Cree,Manitoba ,Unknown,Wesakechak,http://www.galileo.org/initiatives/moka-meyo/meyo/meyopimatisiwin/learning-wasak4.html,"Visual, Text",Story Collection,No summary provided.,"English, French",U,Unknown
123,"Ininew, Cree",Manitoba,"Wilfred Buck, STRONGFRONT.tv",Tipiskawi Kisik: Night Sky Star Stories by Wilfred Buck,https://www.youtube.com/watch?v=oCcjrF95fmY,Visual,Video,"5 recorded lessons from Wilfred Buck featuring multimedia including ""The Dog Stars"" and the ""Rattle""","English, Cree",Y,2020
124,"Ininew, Cree",Manitoba,Wilfred Buck,Wilfred Buck - Orienteering with the sky,https://www.youtube.com/watch?v=sHLb-fDY0lk,Visual,Video,"Video with Wilfed Buck on how to orient self in the bush, uses shadow of sun to orient himself, could be good activity",English ,Y,2020
125,"Nehiyaw, Cree",Saskatchewan ,Paulina R. Johnson ,E-kawôtiniket 1876: Reclaiming Nêhiyaw Governance in the Territory of Maskwacîs thr y of Maskwacîs through Wâhkôtowin (Kinship) owin,https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=6257&context=etd,Text,PhD Thesis ,Focuses on ancestral knowledge and spiritual teachings passed down through generations. This thesis explores how meaningful relationships can be made between researcher and community.,"English, Cree ",Y,Unknown
126,Unknown,"Canada, North America",Chynna Lockett,Lakota Star Knowledge-Milky Way Spirit Path,https://listen.sdpb.org/post/lakota-star-knowledge-milky-way-spirit-path,Text,Article,No summary provided.,English ,U,Unknown
127,Unknown,"Canada, North America",Unknown,Indigenous Storybooks,https://indigenousstorybooks.ca/about/resources/cree/,"Visual, Text","Book, Website, Video",No summary provided.,English ,U,Unknown
128,Unknown,"Canada, North America",Unknown,Cree mythology written in the stars,https://www.cbc.ca/radio/unreserved/from-star-wars-to-stargazing-1.3402216/cree-mythology-written-in-the-stars-1.3402227,"Visual, Text",Video,No summary provided.,English ,U,Unknown
129,Coast Salish,British Columbia,Ellen White & Bill  Cohen,Kwulasulwut: Stories from the Coast Salish.,https://www.theytus.com/Series/K/Kwulasulwut,"Visual, Text",Picturebook,"Collection of original and traditional Coast Salish stories: The Stolen Sun, Grandma Goes Fishing, Hulitun', The Magic Hunter, The Raven and the Racoon. Accompanied by illustrations.","English, Coast Salish",Y,1994
130,Coast Salish,British Columbia,Celestine Aleck,Strong Stories Coast Salish: The Sun and the Moon,https://www.strongnations.com/store/item_display.php?i=6016,"Visual, Text",Picturebook,"""In this Coast Salish story, to help make their children happy, the sun and the moon make the difficult choice to part from each other. The Creator allows them to visit only at the time of an eclipse and at sunrise and sunset. The great love between the sun and the moon can be seen in the beauty of those times.""","English, French ",Y,2016
131,"Coast Salish, Cherokee, Anishnaabeg, Ojibwe, Cherokee, Kwakwaka'wakw, Kwakiutl, Da'naxda'xw Awaetlala, Tsimshian, Ts'msysen, Haudenosaunee, Iroquois, Kanyen'keha:ka, Mohawk, Metis, Haida, Sioux, Lakota, Abenaki, Tlingit","British Columbia, Ontario",Unknown,"Theme Bundle: Sun, Moon and Stars",https://www.strongnations.com/store/item_display.php?i=3416&f=,"Visual, Text",Website,"""Bundle"" of several  astronomy-related education books: Theme Bundle: Sun, Moon and Stars.",English,Y,2005 - 2021
132,Dene,"Canada, North America","Dene Children (Dene Children refers to the children of La Loche and friends (teachers, local advisors, and elders)",Byron Through The Seasons ,https://www.strongnations.com/gs/show.php?gs=3&gsd=798,"Visual, Text",Picture Book ,"""Byron Through the Seasons is a story told by Grandfather Jonas and imagined by his grandson, Byron. The balloon diagram in each picture represents the symbolic journey taken by Byron as he listens to stories of what Dene life is like during the four seasons of the year. This Dene-English story book was produced by the students and teachers of Ducharme Elementary School in La Loche, Saskatchewan, with assistance from local advisors and elders. Together, they wrote the story, translated it, and worked on the pictures.""","English, Dene ",Y,1999
133,"Gitksan, Tlingit, Wsanec",British Columbia,Margaret Grenier,Sky Stories: A First Nations Journey Teacher’s Resources,https://aned.public.sd61.bc.ca/wp-content/uploads/sites/112/2019/02/Sky_Stories_A_First_Nations_Journey_Teachers_Resource-Secondary.pdf,"Visual, Text",Unknown,"Teacher resources to accompany ""Sky Stories: A First Nations Journey"" , a unique planetarium experience. Very useful resrouce with adidtiona links.",English,Y,2008
134,Haida,British Columbia,"Sara Davidson, Terri-Lynn Williams Davidson",Magical Beings of Haida Gwaii,https://www.strongnations.com/store/item_display.php?i=8168,"Visual, Text",Picturebook ,"A picture book based on ancient Haida narratives, including that of the land, sea and sky. ",English,Y,2019
135,"Kwakwaka’wakw, Ts’msyen",British Columbia,"Terri Mack, Bill Helin Ts'msyen ","Mouse Celebrates the Winter Solstice
",https://resources.fnesc.ca/CatalogItems/Details/104,"Visual, Text",Picturebook,"""This beautifully illustrated poem celebrating the winter solstice includes explanations, in both a Preface and a follow-up addendum. It can be used either as a read-aloud or with emergent readers."" (https://resources.fnesc.ca/CatalogItems/Details/104)",English,Y,2014
136,"Kwakwaakaaʼwakw, Kwakiutl",British Columbia,Lucy Hache,Stars,https://www.strongnations.com/store/item_display.php?i=7452&f=,Text,Book,A poetry/story collection of Lucy's thoughts about life and colonialism as they relate to the stars and sky,English,Y,2018
137,Nisga'a,British Columbia,Ksim Sook’/Nita Morven,Nisga’a Hobiyee,http://nnkn.ca/files/Hoobiyee-2012.pdf,"Visual, Text",Story,No summary provided.,"English, Nisga'a",Y,2012
138,Tlingit,British Columbia,Bill Helin,Strong Stories Tlingit: Raven Returns the Daylight,https://www.strongnations.com/store/item_display.php?i=6005&f=,Text,Book,"The story of how Raven brought back the sun, moon, and stars","English, French",Y,2016
139,"Txamsm, Gitxsan, Onondaga, Chickasaw",British Columbia,First Nations Education Steering Committee,Unit 8: Stories from the Sky,http://www.fnesc.ca/wp/wp-content/uploads/2015/06/PUB-LFP-K-3-In-our-Own-Words-for-Web.pdf,"Visual, Text",Unknown,"Complete lesson plan for Grade 3, integrates mulitmedia sources from FN, esp. B.C.",English,Y,Unknown
140,"Gitxsan, Tahltan Nation, St'at'imc Nation, T'it'qet Band, Skatin First Nation, Thunderchild Nation, Yunesit'in Esgul, Secwepemc, Mohawk, T'Sou-ke Nation",British Columbia,First Nations Education Steering Committee,Authentic First Peoples Resources,http://www.fnesc.ca/wp/wp-content/uploads/2015/08/PUB-LFP-K-7-Authentic-Resources-for-Web.pdf,"Visual, Text",Unknown,Resource list. Astronomy mentioned p. 45,English,Y,2011
141,Haida,British Columbia,Unknown,The Raven in Haida Culture,https://ravenreads.org/blogs/news/the-raven-in-haida-culture,"Visual, Text",Unknown,No summary provided.,English,U,Unknown
142,Gitxsan,British Columbia,Brett Huson,The Gixsan Nation,https://www.bretthuson.ca/gitxsan,"Visual, Text",Unknown,No summary provided.,"English, Gitxsan",Y,Unknown
143,"Nuu-chah-nulth, Nootka, Umeek","Vancouver Island, British Columbia","Atleo, Richard E.",Tsawalk: a nuu-chah-nulth worldview,https://www.ubcpress.ca/tsawalk,Text,Book,"Overview of cosmology and worldview of Nuu-cha-nulth. Better as background for teachers than students, but excerpts could be used for more advanced students.",Umeek,U,2005
144,"Abenakis, Wendat",Quebec,Christine Sioui Wawanoloath,L’ours et la femme venus des etoiles,https://hannenorak.leslibraires.ca/livres/l-ours-et-la-femme-venus-christine-sioui-wawanoloath-9782923926933.html,Text,Book,Story telling inspired by First Nations stories,French,Y,Unknown
145,Malecite,Quebec,Dave Jenniss,Mokatek et l’etoile disparue,https://editions.hannenorak.com/catalogue/mokatek-letoile-disparue/,Text,Book,Story telling inspired by First Nations stories,French,Y,Unknown
146,Abenakis ,Quebec,Christine Sioui Wawanoloath,Nanibossad otloka/La lune raconte/Moon’s Tales,https://editions.hannenorak.com/catalogue/nanibossad-otloka-lune-raconte-moons-tales/,Text,Book,Abenakis Moons,"English, French",Y,Unknown